,RID,start,end,Distance,Time
184,22672,"53.0806005805881, 8.7674043010793","53.0690633006018, 8.72169767069863",5187,440
185,22704,"50.9278330004449, 11.58884239092","50.9152059374138, 11.6005153645528",2160,386
186,22710,"51.1591816696655, 14.9912910458806","50.9458139730828, 15.0417443300052",30116,2417
187,22716,"50.1395261332273, 8.69135856803041","50.1379629819728, 8.6937397881411",208,17
188,22718,"51.0501356945374, 12.1412658691406","51.2363856738603, 12.3390197753906",28212,1965
189,22724,"51.0101052116391, 11.0118723940104","50.9496465066984, 11.0166278667748",10907,1128
190,22728,"51.6582302424002, 6.61674892195151","51.6802872012689, 6.55139161739498",7081,771
191,22731,"49.3829985964895, 8.01480104215443","49.337754757253, 7.9904594400432",7930,460
192,22740,"51.3893712269407, 12.2943878173828","51.374453993386, 12.2698402404785",2968,332
193,22743,"49.5386544237407, 8.38808417553082","49.5492401232725, 8.3812177204527",2292,249
194,22746,"48.6574552307537, 13.6289024450525","48.648808932242, 13.6503963472933",5143,486
195,22750,"48.8368931083199, 9.3128002881349","48.802748043461, 9.16965293989051",17504,1420
196,22770,"52.8757609818473, 9.59490537643433","52.4936512206748, 9.7363543510437",50879,2218
197,22778,"54.5026577194277, 9.54136848449707","54.5177965930879, 9.5295238494873",2137,440
198,22779,"51.247518447475, 9.38901901245117","51.2985920943791, 9.49659003483357",14905,1007
199,22784,"51.4783271928736, 13.133408773283","51.5528603222252, 13.0071158014471",15268,1006
200,22785,"53.5520384818936, 10.0103362781965","53.5389195936294, 10.0080123125008",2415,463
201,22788,"52.4430734786409, 13.433940410614","52.4362797841226, 13.4459781646729",1261,144
202,22797,"50.110044529737, 8.66712359404119","50.0248410998151, 8.61760711617535",13419,1381
203,22798,"53.2245386405161, 11.1683921811346","53.2298172944255, 11.1831207264913",2054,127
204,22800,"51.5398226464143, 7.56301403045654","51.5412639959122, 7.57067441940308",573,106
205,22845,"52.1099460394684, 9.48085248470307","52.1010469078585, 9.53347206115723",8850,900
206,22855,"53.6615826862476, 9.7416490008618","54.1284322782479, 8.86184692382813",106395,4507
207,22862,"52.098632184304, 10.9468460083008","53.5067388492046, 10.1283645629883",250332,10048
208,22869,"52.4873928849793, 13.4177398681641","52.4892364264671, 13.406195640564",1151,159
209,22873,"54.7836801216679, 9.43682670593262","54.8147563330239, 9.69191551208496",20674,1598
210,22874,"51.6603287235687, 12.2705268859863","51.6463237366288, 12.4099159240723",21410,1641
211,22879,"49.4779926486902, 11.1010922709829","49.4826832570797, 11.0929037828464",6721,726
212,22880,"54.1586208496791, 10.44602394104","54.1506236246079, 10.3866291046143",5549,577
213,22884,"50.9474579951155, 10.6962397097232","50.8658321721804, 10.4849395668134",22237,1436
