,RID,start,end,Distance,Time
91,22419,"49.6530861153804, 11.0391365290343","49.6865518875896, 11.0017132772191",6923,1424
92,22424,"51.3765906965436, 14.0811038017273","51.3535692459897, 14.205322265625",12845,2390
93,22437,"54.1042221389823, 11.901798248291","54.1464190232655, 11.894416809082",8391,1595
94,22460,"50.3361480062779, 7.70905494689941","50.3301213612751, 7.71420478820801",1716,517
95,22491,"51.9702915986192, 7.56925568062798","51.9741412711506, 7.55766248699729",1243,245
96,22517,"52.5272961987669, 13.4235671587885","52.6231047333501, 13.3880669722566",14224,2793
97,22522,"48.8096049957597, 11.370849609375","48.8433902231651, 11.2618446350098",10657,2276
98,22525,"47.7217671604904, 10.3124059438051","47.633701444666, 10.265968318563",14500,2936
99,22530,"48.9260863685281, 9.19120807946456","48.9523156941107, 9.22043389873579",5184,1044
100,22562,"48.906028459006, 10.3571462631226","48.9038845987754, 10.336332321167",2269,456
101,22567,"52.5315231174315, 13.351457118988","52.5638541883587, 13.2661628723145",10723,2106
102,22569,"52.4379697790204, 13.7293871886504","52.4582540936655, 13.7638495151623",4611,965
103,22602,"48.7455911393382, 11.0730171203613","48.7317606834661, 11.0791969299316",11263,2374
104,22603,"48.1290887409594, 11.508264541626","48.1214020129858, 11.5120410919189",1337,301
105,22634,"49.1990085332642, 8.11065673828125","49.2129330958645, 7.96371459960938",13917,3263
106,22645,"53.6276935984023, 11.4124774932861","53.6417214164555, 11.3797330849775",3038,641
107,22652,"53.9942124375691, 11.9031535534941","54.1547929982633, 11.8882469582604",25038,4862
108,22662,"52.9667281052342, 8.81103515625","53.2075747449706, 8.53466033935547",44829,8588
109,22672,"53.0806005805881, 8.7674043010793","53.0690633006018, 8.72169767069863",6172,1131
110,22678,"51.2794342446034, 12.3771286010742","51.267181441279, 12.3469161987305",3415,718
111,22727,"49.3335945445806, 7.4652099609375","49.3560963870495, 7.30144500732422",19340,4176
112,22743,"49.5386544237407, 8.38808417553082","49.5492401232725, 8.3812177204527",1905,327
113,22759,"51.5847578027981, 7.00137555599213","51.6212965768574, 6.99706792831421",4349,730
114,22763,"52.4405250781805, 13.5558843612671","52.4210573414589, 13.6090564727783",5748,1141
115,22765,"48.3824130030177, 10.8254814147949","48.3897224713077, 10.8079987764359",2236,415
116,22778,"54.5026577194277, 9.54136848449707","54.5177965930879, 9.5295238494873",2700,670
117,22779,"51.247518447475, 9.38901901245117","51.2985920943791, 9.49659003483357",12097,2209
118,22851,"49.2676665353747, 6.80344692274957","49.1892488388418, 6.74622467398876",11518,2542
119,22864,"54.3411512904273, 10.0198745727539","54.3367807551124, 9.96974945068359",4380,756
120,22873,"54.7836801216679, 9.43682670593262","54.8147563330239, 9.69191551208496",20232,3987
121,22882,"51.3032686810757, 12.2608966816915","51.3026301080272, 12.2535152424825",546,152
122,22897,"53.5941988816015, 9.98332679271698","53.5626859813757, 9.98095035552979",4691,1034
123,22915,"51.2920052686951, 13.5334610939026","51.2867805026594, 13.5167260813614",1843,352
124,22954,"52.2152589107833, 11.7884445120581","52.1533458309558, 11.9835662702099",22323,4136
125,22977,"52.3727589426493, 9.70279097546154","52.3773574814338, 9.69541668837337",946,188
126,22986,"51.4830131737969, 11.9234490394592","51.4888389358188, 11.9263243675232",870,179
127,23004,"48.4045911084346, 13.3078765869141","48.3836181088663, 13.3339691162109",4518,868
128,23031,"54.7743755421376, 8.98152923531597","54.8067500206511, 8.97466278023785",4929,962
129,23040,"48.9938475524225, 8.39350640773773","48.9885534775087, 8.42229723930359",3366,663
130,23061,"48.6726204519234, 11.4683532714844","48.6767068554532, 11.4904975891113",2137,371
131,23065,"48.6558339974839, 10.8057403564453","48.6296300172814, 10.8114910125732",3677,897
132,23068,"50.3913436322411, 7.6453072624281","49.9822237504386, 7.53107888507657",68209,14773
133,23092,"50.7399657422959, 7.09416389465332","50.7466872362417, 7.11390495300293",2824,638
134,23135,"50.9707115160847, 13.8718155123161","50.973773722488, 13.8811050742652",1350,265
135,23141,"52.0567320807153, 8.53242874145508","52.0576732371378, 8.55903625488281",1990,430
136,23143,"49.3047550676721, 10.5752334589488","49.3592046856288, 10.5093154901988",9334,1863
137,23153,"51.9921073486171, 9.12036895751953","51.9839612389954, 9.09552097320557",2309,646
138,23200,"50.4251436281596, 12.9673004150391","50.4403426489194, 12.975754737854",3168,1042
139,23263,"51.7460569629452, 11.4436340332031","51.7544526026199, 11.4595913852099",2445,383
140,23280,"48.6348342906275, 12.8537452646606","48.5692863013154, 12.5784312613905",23894,4524
141,23291,"48.1481624120917, 7.6969455066137","48.1139133309693, 7.70000566667142",5118,2100
142,32137,"48.206172917143, 11.5521669387817","47.5090411558147, 11.2651062011719",110979,22058
143,32147,"48.7789308370763, 9.18066501617432","48.8045457581585, 9.19585704803467",4498,881
144,32152,"52.0854840134481, 8.66358017934544","52.118516832521, 8.7088655234038",6816,1642
145,32156,"51.4910300848574, 6.29653930664063","51.5005203686408, 6.29001617431641",1382,271
146,32179,"52.9796561320157, 9.1195678152144","54.1915037210421, 12.6599118858576",329000,61092
147,32203,"51.7858002361573, 11.1604270956013","51.8186461908171, 11.1965446535032",6400,1162
148,32213,"53.5520370307997, 10.0172423198819","52.1627865914211, 10.5380058148876",197015,36290
149,32216,"52.3765615453666, 13.1348419189453","52.4025026651013, 13.1684875488281",4843,946
150,32219,"51.46793756484, 7.48958587646484","51.4558040463079, 7.50095844268799",2360,727
151,32223,"52.450306725815, 13.5378170013428","52.4462747896543, 13.5347270965576",1135,203
152,32233,"53.3056468433287, 9.9565315246582","53.2824584662586, 9.80855941772461",11225,2402
153,32240,"51.4564704855005, 6.73659373889677","51.4679164502837, 6.72075773065444",2267,441
154,32260,"52.4841879001056, 9.80461992978235","52.5001755017737, 9.8073080231552",2908,516
155,32266,"51.8790731942943, 12.6655197143555","51.8566124252493, 12.6462936401367",4500,901
156,32269,"51.3631128213287, 9.46866989135742","51.3651391933515, 9.44292068481445",2222,463
157,32272,"51.5384479835308, 7.11441993713379","51.5495475338527, 7.12858200073242",2940,618
158,32276,"53.1690804351361, 9.48886870639399","53.1719568097132, 9.50310230167816",1215,214
159,32279,"51.4720151866535, 7.36740589141846","51.4274924994744, 7.27020263671875",9573,1842
160,32286,"50.094415885671, 10.7913208007812","50.0650953236531, 10.7504653930664",5747,1295
161,32308,"52.7662917817552, 13.238525390625","52.7870809335192, 13.2625579833984",4260,835
162,32312,"49.0035766466774, 8.51842761039734","48.983510442385, 8.42462539672852",9191,1757
163,32324,"48.1273469144195, 11.5559434890747","48.1213570715972, 11.5671443939209",1438,324
164,32332,"52.4976438014187, 13.3135516788752","52.4962737661516, 13.3253625190991",1117,221
165,32337,"52.025077360978, 8.5434365272522","52.0235061454287, 8.50341796875",3291,1080
166,32350,"50.8893906240934, 11.8231773376465","50.8952377736013, 11.8255805969238",1173,308
167,32368,"49.541474080412, 8.58633041381836","49.5381043976733, 8.5133957862854",6234,1206
168,32373,"51.9036128078836, 10.1565170288086","51.9427834189026, 10.0990104675293",7118,1242
169,32385,"52.1354966083489, 11.611475944519","52.120020067365, 11.6467952728272",3812,769
170,32387,"48.8092086898588, 9.36314169768593","48.8058823119663, 9.35604131547734",645,110
171,32413,"54.4747197049135, 8.876953125","54.4783897810568, 9.07470703125",20580,3717
172,32430,"53.3913395435387, 7.49301910400391","53.4022053305562, 7.459716796875",4040,761
173,32435,"51.1608946072108, 13.9080734294839","51.1614893996407, 13.8953361532185",1076,255
174,32441,"50.5645252914413, 8.15769195556641","50.4874249714563, 8.27133178710938",15037,2544
175,32448,"49.0091229434035, 8.38532567024231","49.0004137644251, 8.37207555770874",2098,440
176,32455,"54.1475564206634, 10.9565234184265","54.178932490972, 10.9720426797867",4381,901
177,32468,"54.2026168034675, 9.8876953125","54.3046661449239, 10.0691413879395",25506,4654
178,32500,"48.4517829073863, 9.38441848964431","48.4605069658235, 9.37592982983915",1823,527
179,32513,"52.5447019702403, 9.73457336425781","52.5480633469816, 9.71534729003906",2174,474
180,32521,"52.5172797285759, 13.4997779130936","52.4399460554048, 13.6802101135254",20485,3934
181,32533,"49.7007830105183, 7.34049797058105","49.687525036817, 7.35860824584961",3473,1543
182,32551,"54.2138610006449, 13.18359375","54.0851734208868, 13.436279296875",29126,5315
183,32585,"48.4471312074834, 9.09621834754944","48.4433812013801, 9.08800005912781",933,145
184,32592,"52.4488704790977, 10.8016108275115","52.4493769134219, 10.8126153951162",1080,187
185,32601,"53.6425719515904, 9.24248635725235","53.650071851451, 9.24919367011171",1166,185
186,32622,"48.7803518747478, 11.4105033874512","48.7398966761093, 11.3248443603516",10316,1921
187,32658,"49.0017946485299, 8.38754653930664","49.00167675358, 8.37535858154297",1646,347
188,32667,"52.6276126834009, 13.5164076089859","52.7076662111421, 13.5308790198178",11809,2437
189,32702,"51.5343838101442, 7.62899100780487","51.5455877705091, 7.6285457611084",1745,389
190,32708,"50.0792162275579, 8.32735061820131","50.117540215182, 8.30440521589481",5992,1668
191,32741,"50.8676518325682, 12.074797154346","50.877206704892, 12.0568656991236",3091,994
192,32749,"51.014567110063, 13.7849020957947","51.0315834948263, 13.7700748443604",2790,607
193,32771,"51.3735485163142, 9.24362182617188","51.3966486199463, 9.22920227050781",3546,1031
194,32777,"48.1649290215698, 11.5144100194448","48.158270634901, 11.4979305272573",1948,686
195,32790,"49.4220495216265, 8.42848777770996","49.3951146901522, 8.47208976745606",5409,1036
196,32837,"51.8974959324633, 11.0690689086914","51.8550852184127, 11.0316467285156",7380,1626
197,32847,"52.5227414372546, 13.4488248829439","52.5265213769064, 13.4332895283296",1580,349
198,32891,"53.5011680956166, 7.0916748046875","53.5097759734625, 7.07244873046875",5076,886
199,32894,"52.6349694229622, 9.93682480067946","52.6274079249956, 9.96978378505446",2875,610
200,32935,"50.8769025189488, 6.91609096946195","50.9042524881395, 6.90391160314903",4533,1001
201,32938,"48.8450600877354, 8.21730136871338","48.9065644096931, 8.29879760742188",11505,2186
202,32942,"52.5258825609947, 7.31483459472656","52.5494697139725, 7.24960327148438",6024,1147
203,32950,"49.7769781458231, 7.89341243449599","49.7769592519885, 7.89544116938487",197,97
204,32962,"49.1798098318358, 8.61697196960449","49.1681277955061, 8.61559867858887",1735,327
205,33000,"50.9521709433487, 6.95516109466553","50.9247654916954, 7.13973999023438",17652,3596
206,33025,"53.3720518868081, 8.10165329603478","53.3818233388178, 8.11632254859433",1993,401
207,33045,"52.8968878882459, 10.1667823770549","52.8751462534375, 10.1211204507854",4357,811
208,33050,"49.1387799117961, 9.41014409065247","49.1204030913447, 9.38180923461914",3914,994
209,33063,"48.2577146039648, 7.80557155609131","48.3008279773731, 8.22601318359375",45885,10513
210,33071,"53.7354652795595, 10.598991389852","53.7072005388581, 10.7434272870887",12868,2676
211,33082,"48.486058058403, 9.19826030731201","48.4471815793129, 9.20386075973511",7056,1700
212,33102,"51.7529825949276, 11.9914627040271","51.7499737944368, 11.9966697675409",789,136
