,RID,start,end,Distance,Time
674,53355,"52.0437226377673, 8.52044999599457","52.0398450789706, 8.50602150050691",1232,1046
675,53368,"50.7390181243595, 12.47398853302","50.7421259330015, 12.4737739562988",448,346
676,53377,"51.1737181279305, 6.8170166015625","50.6561938828545, 7.371826171875",78766,65591
677,53380,"48.2357884746768, 9.88151550292969","48.2217536424311, 9.90850491682068",4347,3610
678,53385,"50.1156232048175, 8.68658065795899","50.1187000801026, 8.67945671081543",839,711
679,53388,"48.7968736653194, 13.6532715371868","48.7598760966848, 13.6298765453103",5108,4186
680,53392,"50.0019015989946, 8.25146198272705","49.9900351819328, 8.29216718673706",3703,2998
681,53396,"53.0783983763694, 11.8642730702413","53.091924397888, 11.8718894719996",2061,1706
682,53400,"49.2325357917255, 6.99723958969116","49.2260059271475, 7.00661659240723",1137,951
683,53412,"52.0874253138274, 7.48214632971212","52.1227672269742, 7.49599691655021",5011,4046
684,53413,"51.933336196741, 13.7638092041016","51.9290670168826, 13.7631225585938",2335,1892
685,53427,"52.1500354948938, 9.94418568261608","52.1402925203079, 9.95050191879273",1337,1075
686,53440,"48.2544402408769, 8.68572235107422","48.2537439823649, 8.69876861572266",1108,929
687,53447,"54.3313827504443, 10.1928663253784","54.3340529909215, 10.202548992529",971,790
688,53453,"49.4823773207646, 11.055671423801","49.4816764588791, 11.0874211786722",2692,2192
689,53456,"49.4705085561915, 8.39252471923828","49.3492284796491, 8.35346282925457",16728,13628
690,53462,"52.1863253182018, 10.2348102699034","52.1735829705113, 10.2195167541504",2236,1963
691,53466,"50.270888118, 9.3638534587808","50.2753534657404, 9.35023212485248",2235,2252
692,53471,"49.2039156979554, 9.50749969430035","49.2106198106126, 9.50818633980816",1336,1108
693,53476,"53.1215706818177, 13.5091683268547","53.1179327303914, 13.5249423980713",1312,1101
694,53478,"47.8198279369263, 8.86827043068479","47.8257585037878, 8.87725487466014",1032,854
695,53484,"47.6126036839856, 7.66709302843083","47.6384590380824, 7.66545152699109",4009,3658
696,53488,"51.3491470475948, 12.4313682317734","51.3557919019035, 12.4455953101278",1871,1541
697,53493,"52.590368231543, 13.33396508242","52.5776271818972, 13.3634844166227",2930,2449
698,53494,"50.7745530005623, 6.09986901283264","50.7678732808727, 6.10345780849457",915,782
699,53499,"48.8711511060643, 10.7321338355541","48.8756391193233, 10.7828168570995",4227,3551
700,53514,"50.8040667780651, 6.49459362030029","50.775662048441, 6.4984130859375",3973,3275
701,53515,"50.932793610972, 6.93815991282463","50.9333345398866, 6.92875474691391",909,763
