"RID","on_foot","bike","car","distance_walk","time_walk","distance_bike","time_bike","distance_car","time_car","mean_dist","mean_time"
12636,0,0,1,NA,NA,NA,NA,46661,2296,46661,2296
12638,1,0,0,656,718,NA,NA,NA,NA,656,718
12640,1,0,0,1765,1542,NA,NA,NA,NA,1765,1542
12643,1,0,0,459,400,NA,NA,NA,NA,459,400
12645,0,1,0,NA,NA,2686,647,NA,NA,2686,647
12646,0,1,0,NA,NA,4078,849,NA,NA,4078,849
12648,0,1,0,NA,NA,3295,783,NA,NA,3295,783
12653,1,1,1,3756,3603,5165,1723,6617,793,5179.33333333333,2039.66666666667
12660,0,1,0,NA,NA,7722,1460,NA,NA,7722,1460
12663,1,0,0,2196,1776,NA,NA,NA,NA,2196,1776
12666,0,0,1,NA,NA,NA,NA,16683,1367,16683,1367
12667,0,0,1,NA,NA,NA,NA,777861,29657,777861,29657
12673,1,0,1,3854,3177,NA,NA,4728,832,4291,2004.5
12680,0,0,1,NA,NA,NA,NA,18856,1528,18856,1528
12682,0,0,1,NA,NA,NA,NA,8032,1163,8032,1163
12684,1,0,0,1161,943,NA,NA,NA,NA,1161,943
12687,0,0,1,NA,NA,NA,NA,747034,28507,747034,28507
12692,0,0,1,NA,NA,NA,NA,49869,2512,49869,2512
12694,1,0,1,2651,2400,NA,NA,3563,496,3107,1448
12697,1,1,0,5241,4234,5312,998,NA,NA,5276.5,2616
12699,1,1,1,12834,10416,13777,2640,20274,1301,15628.3333333333,4785.66666666667
12700,1,1,0,1452,1162,1506,250,NA,NA,1479,706
12703,0,1,1,NA,NA,2929,556,14056,969,8492.5,762.5
12704,1,0,0,72505,58981,NA,NA,NA,NA,72505,58981
12706,1,1,0,958,764,958,159,NA,NA,958,461.5
12707,0,1,1,NA,NA,897,213,1768,347,1332.5,280
12722,0,0,1,NA,NA,NA,NA,385410,14571,385410,14571
12727,0,0,1,NA,NA,NA,NA,14551,980,14551,980
12734,1,1,1,917,741,917,161,609,116,814.333333333333,339.333333333333
12742,0,0,1,NA,NA,NA,NA,930,140,930,140
12744,1,1,0,1305,1074,1612,313,NA,NA,1458.5,693.5
12752,1,0,0,1024,854,NA,NA,NA,NA,1024,854
12753,0,0,1,NA,NA,NA,NA,20685,1360,20685,1360
12760,1,0,1,590,469,NA,NA,1692,252,1141,360.5
12762,0,0,1,NA,NA,NA,NA,3323,432,3323,432
12766,0,0,1,NA,NA,NA,NA,9761,981,9761,981
12768,1,0,0,750,640,NA,NA,NA,NA,750,640
12769,0,0,1,NA,NA,NA,NA,7676,618,7676,618
12772,0,1,0,NA,NA,15234,2944,NA,NA,15234,2944
12773,1,0,0,1706,1663,NA,NA,NA,NA,1706,1663
12776,0,0,1,NA,NA,NA,NA,27220,2192,27220,2192
12777,0,0,1,NA,NA,NA,NA,5206,642,5206,642
12780,0,1,0,NA,NA,1598,632,NA,NA,1598,632
12790,0,0,1,NA,NA,NA,NA,7010,472,7010,472
12793,0,1,1,NA,NA,3352,673,3586,373,3469,523
12794,0,1,0,NA,NA,218762,41139,NA,NA,218762,41139
12799,1,0,0,2264,1847,NA,NA,NA,NA,2264,1847
12805,1,0,0,2959,2412,NA,NA,NA,NA,2959,2412
12809,1,0,0,2269,1892,NA,NA,NA,NA,2269,1892
12816,1,1,1,8008,7007,8499,1772,8497,589,8334.66666666667,3122.66666666667
12817,0,1,0,NA,NA,12780,2697,NA,NA,12780,2697
12823,1,0,0,499,484,NA,NA,NA,NA,499,484
12844,0,0,0,NA,NA,NA,NA,5581,900,5581,900
12845,1,0,1,12121,9846,NA,NA,10646,1078,11383.5,5462
12847,0,1,0,NA,NA,2689,586,NA,NA,2689,586
12849,0,0,0,NA,NA,NA,NA,347871,13191,347871,13191
