"RID","start","end"
32114,"54.2988787256281, 13.0606359243393","54.3169012342638, 13.0576586723328"
32128,"49.7400905634042, 9.00642012711615","49.7389173870816, 9.01033401489258"
32132,"51.3819452959807, 7.49463609230588","51.3786588045163, 7.5005170267832"
32133,"50.7858776658998, 12.8926792123821","50.7842768541845, 12.8907909372356"
32135,"48.6201883186906, 9.33548111010168","48.6214602633248, 9.3377107847482"
32136,"50.0396203570987, 7.13018703303533","50.0421036935679, 7.13147449336248"
32147,"48.7789308370763, 9.18066501617432","48.8045457581585, 9.19585704803467"
32153,"48.9518398170687, 12.9651921987534","48.9521165890654, 12.9652512073517"
32156,"51.4910300848574, 6.29653930664063","51.5005203686408, 6.29001617431641"
32159,"51.5349256096744, 10.4111284017563","51.5490100226972, 10.4425692558289"
32162,"48.5081261001189, 9.62405562400818","48.5029863096883, 9.62567567825318"
32167,"50.6257427978421, 9.49577522173058","50.5128152511898, 9.24478915287182"
32169,"54.1318722454724, 12.0124340057373","54.1316451008518, 12.0168542861938"
32172,"53.5650759860528, 10.0274293444818","53.6075119716834, 9.98670101165772"
32173,"51.2965434630632, 12.4532335996628","51.3087087907406, 12.4125730993546"
32175,"49.8995412866242, 8.51263046090026","49.8926945382463, 8.50301742379088"
32179,"52.9796561320157, 9.1195678152144","54.1915037210421, 12.6599118858576"
32181,"51.5280899652076, 7.46006011962891","51.5355734025626, 7.45645523071289"
32199,"51.6526700077083, 7.33082056045532","51.6670190648764, 7.25698471069336"
32204,"52.0789116975439, 9.41459655761719","52.0837468026008, 9.43588256835938"
32211,"49.4496229057488, 7.74233043193817","49.4512480519635, 7.73838758468628"
32213,"53.5520370307997, 10.0172423198819","52.1627865914211, 10.5380058148876"
32219,"51.46793756484, 7.48958587646484","51.4558040463079, 7.50095844268799"
32221,"51.4713326844881, 13.7488746643066","51.4653442717836, 13.743166923523"
32223,"52.450306725815, 13.5378170013428","52.4462747896543, 13.5347270965576"
32228,"49.3861480279635, 8.80535316362512","49.3819369494814, 8.81393623247277"
32247,"50.8999142883031, 7.01690554553352","50.9007052769804, 7.00541710866673"
32248,"49.9874351037416, 8.17279815673828","50.0106073541686, 8.16095352172852"
32261,"52.2856482036726, 10.5363821983337","52.2936807092269, 10.5521106719971"
32269,"51.3631128213287, 9.46866989135742","51.3651391933515, 9.44292068481445"
32270,"51.1427538754024, 6.45669937133789","51.1440361284001, 6.45240783691406"
32272,"51.5384479835308, 7.11441993713379","51.5495475338527, 7.12858200073242"
32276,"53.1690804351361, 9.48886870639399","53.1719568097132, 9.50310230167816"
32289,"53.3264718199994, 9.88407969474792","53.3245173818443, 9.90207195281983"
32290,"53.0872780141818, 8.82974624633789","53.0916546850711, 8.82451057434082"
32308,"52.7662917817552, 13.238525390625","52.7870809335192, 13.2625579833984"
32312,"49.0035766466774, 8.51842761039734","48.983510442385, 8.42462539672852"
32315,"51.7181311252989, 8.75846385955811","51.7187922602311, 8.76202583312988"
32321,"52.4810186576739, 13.4705944050802","52.4822640441562, 13.4877605427755"
32329,"51.8180316186099, 9.86949920654297","51.6774066499541, 9.73498106002808"
32332,"52.4976438014187, 13.3135516788752","52.4962737661516, 13.3253625190991"
32333,"51.1450313926566, 9.17843341827393","51.1373076615235, 9.173583984375"
32337,"52.025077360978, 8.5434365272522","52.0235061454287, 8.50341796875"
32339,"52.5349712589343, 13.3868459293444","52.545500642691, 13.3858159610827"
32346,"53.5862264646022, 10.1579654216766","54.0892418667904, 10.8641052246094"
32350,"50.8893906240934, 11.8231773376465","50.8952377736013, 11.8255805969238"
32364,"51.3792693890182, 7.72825956344605","51.3803558889663, 7.72785186767578"
32365,"48.3839743800754, 7.81694412231445","48.4054914305725, 7.81904697418213"
32373,"51.9036128078836, 10.1565170288086","51.9427834189026, 10.0990104675293"
32374,"48.1968892562292, 11.5215682983398","48.2039723786299, 11.5292930603027"
32378,"52.188437423515, 7.86799728870392","52.2026885596814, 7.8412127494812"
32385,"52.1354966083489, 11.611475944519","52.120020067365, 11.6467952728272"
32387,"48.8092086898588, 9.36314169768593","48.8058823119663, 9.35604131547734"
32398,"47.8321413930898, 10.0243377685547","47.8276517452161, 10.0308609008789"
32400,"51.0360036506238, 13.7933778762817","51.0534853804266, 13.8098173160688"
